component,feature,selection_count,selection_fraction
ad_vs_ftd,photic__stimulus_snr_db__15hz__ch_T4,4,0.08
ad_vs_ftd,resting__beta_relative__lr_slope,4,0.08
ad_vs_ftd,resting__higuchi_fd__ch_T3,4,0.08
ad_vs_ftd,resting__higuchi_fd__lr_slope,4,0.08
ad_vs_ftd,resting__median_frequency_hz__ch_T3,4,0.08
ad_vs_ftd,photic__aperiodic_exponent__20hz__ch_F8,3,0.06
ad_vs_ftd,photic__aperiodic_offset__5hz__ch_P3,3,0.06
ad_vs_ftd,photic__aperiodic_offset__rostrocaudal__frequency_sd,3,0.06
ad_vs_ftd,photic__beta_relative__lr_slope__20hz,3,0.06
ad_vs_ftd,photic__gamma_relative__20hz__ch_F3,3,0.06
ad_vs_ftd,photic__gamma_relative__20hz__ch_Fz,3,0.06
ad_vs_ftd,photic__gamma_relative__lr_slope__20hz,3,0.06
ad_vs_ftd,photic__harmonic_snr_db__10hz__ch_F4,3,0.06
ad_vs_ftd,photic__higuchi_fd__20hz__ch_F7,3,0.06
ad_vs_ftd,photic__higuchi_fd__5hz__ch_Pz,3,0.06
ad_vs_ftd,photic__loglog_slope__20hz__ch_F3,3,0.06
ad_vs_ftd,photic__loglog_slope__20hz__ch_P3,3,0.06
ad_vs_ftd,photic__median_frequency_hz__15hz__ch_C3,3,0.06
ad_vs_ftd,photic__median_frequency_hz__15hz__ch_T3,3,0.06
ad_vs_ftd,photic__theta_relative__lr_slope__15hz,3,0.06
ad_vs_ftd,resting__higuchi_fd__ap_slope,3,0.06
ad_vs_ftd,resting__higuchi_fd__ch_T5,3,0.06
ad_vs_ftd,resting__surrogate_hfd_z__ch_C4,3,0.06
ad_vs_ftd,resting__theta_relative__ap_slope,3,0.06
ad_vs_ftd,resting__theta_relative__ch_Cz,3,0.06
ad_vs_ftd,photic__alpha_relative__rostrocaudal__20hz,2,0.04
ad_vs_ftd,photic__alpha_relative__rostrocaudal__frequency_mean,2,0.04
ad_vs_ftd,photic__aperiodic_exponent__15hz__ch_Cz,2,0.04
ad_vs_ftd,photic__aperiodic_exponent__5hz__ch_P3,2,0.04
ad_vs_ftd,photic__aperiodic_exponent__ap_slope__frequency_sd,2,0.04
ad_vs_ftd,photic__aperiodic_offset__10hz__ch_Fp1,2,0.04
ad_vs_ftd,photic__aperiodic_offset__5hz__ch_P4,2,0.04
ad_vs_ftd,photic__beta_relative__10hz__ch_T3,2,0.04
ad_vs_ftd,photic__beta_relative__5hz__ch_T4,2,0.04
ad_vs_ftd,photic__delta_relative__ap_slope__frequency_mean,2,0.04
ad_vs_ftd,photic__gamma_relative__20hz__ch_F7,2,0.04
ad_vs_ftd,photic__gamma_relative__5hz__ch_Pz,2,0.04
ad_vs_ftd,photic__gamma_relative__caudal__20hz,2,0.04
ad_vs_ftd,photic__gamma_relative__global__5hz,2,0.04
ad_vs_ftd,photic__harmonic_snr_db__5hz__ch_O1,2,0.04
ad_vs_ftd,photic__harmonic_snr_db__global__frequency_slope,2,0.04
ad_vs_ftd,photic__harmonic_snr_db__lr_slope__frequency_mean,2,0.04
ad_vs_ftd,photic__harmonic_snr_db__rostral__5hz,2,0.04
ad_vs_ftd,photic__higuchi_fd__20hz__ch_F3,2,0.04
ad_vs_ftd,photic__higuchi_fd__5hz__ch_P3,2,0.04
ad_vs_ftd,photic__higuchi_fd__ap_slope__frequency_slope,2,0.04
ad_vs_ftd,photic__loglog_slope__10hz__ch_P3,2,0.04
ad_vs_ftd,photic__median_frequency_hz__10hz__ch_C3,2,0.04
ad_vs_ftd,photic__median_frequency_hz__20hz__ch_C4,2,0.04
ad_vs_ftd,photic__median_frequency_hz__5hz__ch_F3,2,0.04
ad_vs_ftd,photic__median_frequency_hz__global__20hz,2,0.04
ad_vs_ftd,photic__median_frequency_hz__rostrocaudal__10hz,2,0.04
ad_vs_ftd,photic__spectral_edge_95_hz__20hz__ch_P3,2,0.04
ad_vs_ftd,photic__spectral_edge_95_hz__rostrocaudal__15hz,2,0.04
ad_vs_ftd,photic__spectral_entropy__10hz__ch_Fz,2,0.04
ad_vs_ftd,photic__spectral_entropy__rostrocaudal__10hz,2,0.04
ad_vs_ftd,photic__stimulus_snr_db__15hz__ch_Cz,2,0.04
ad_vs_ftd,photic__stimulus_snr_db__15hz__ch_F4,2,0.04
ad_vs_ftd,photic__theta_relative__20hz__ch_Pz,2,0.04
ad_vs_ftd,resting__alpha_relative__front_minus_back,2,0.04
ad_vs_ftd,resting__aperiodic_offset__lr_slope,2,0.04
ad_vs_ftd,resting__higuchi_fd__front_minus_back,2,0.04
ad_vs_ftd,resting__loglog_slope__ch_T3,2,0.04
ad_vs_ftd,resting__regional__alpha_relative_rostrocaudal,2,0.04
ad_vs_ftd,resting__regional__higuchi_fd_rostrocaudal,2,0.04
ad_vs_ftd,resting__regional__theta_relative_caudal,2,0.04
ad_vs_ftd,resting__regional__theta_relative_global,2,0.04
ad_vs_ftd,resting__regional__theta_relative_rostrocaudal,2,0.04
ad_vs_ftd,resting__theta_relative__ch_F4,2,0.04
ad_vs_ftd,resting__theta_relative__ch_Pz,2,0.04
ad_vs_ftd,resting__theta_relative__ch_T6,2,0.04
ad_vs_ftd,resting__theta_relative__front_minus_back,2,0.04
ad_vs_ftd,resting__theta_relative__mean,2,0.04
ad_vs_ftd,photic__alpha_relative__ap_slope__20hz,1,0.02
ad_vs_ftd,photic__alpha_relative__ap_slope__frequency_mean,1,0.02
ad_vs_ftd,photic__aperiodic_exponent__10hz__ch_C3,1,0.02
ad_vs_ftd,photic__aperiodic_exponent__20hz__ch_Fp1,1,0.02
ad_vs_ftd,photic__aperiodic_offset__10hz__ch_P3,1,0.02
ad_vs_ftd,photic__aperiodic_offset__10hz__ch_T3,1,0.02
ad_vs_ftd,photic__aperiodic_offset__20hz__ch_Pz,1,0.02
ad_vs_ftd,photic__aperiodic_offset__5hz__ch_C3,1,0.02
ad_vs_ftd,photic__aperiodic_offset__ap_slope__20hz,1,0.02
ad_vs_ftd,photic__aperiodic_offset__ap_slope__frequency_mean,1,0.02
ad_vs_ftd,photic__aperiodic_offset__ap_slope__frequency_sd,1,0.02
ad_vs_ftd,photic__aperiodic_offset__rostral__frequency_sd,1,0.02
ad_vs_ftd,photic__beta_relative__20hz__ch_F3,1,0.02
ad_vs_ftd,photic__beta_relative__20hz__ch_Fp1,1,0.02
ad_vs_ftd,photic__beta_relative__20hz__ch_P4,1,0.02
ad_vs_ftd,photic__beta_relative__5hz__ch_F7,1,0.02
ad_vs_ftd,photic__beta_relative__lr_slope__10hz,1,0.02
ad_vs_ftd,photic__delta_relative__10hz__ch_T3,1,0.02
ad_vs_ftd,photic__delta_relative__5hz__ch_Fz,1,0.02
ad_vs_ftd,photic__delta_relative__5hz__ch_P4,1,0.02
ad_vs_ftd,photic__delta_relative__lr_slope__15hz,1,0.02
ad_vs_ftd,photic__gamma_relative__15hz__ch_C3,1,0.02
ad_vs_ftd,photic__gamma_relative__20hz__ch_C4,1,0.02
ad_vs_ftd,photic__gamma_relative__20hz__ch_Fp1,1,0.02
ad_vs_ftd,photic__gamma_relative__5hz__ch_F7,1,0.02
ad_vs_ftd,photic__gamma_relative__5hz__ch_F8,1,0.02
ad_vs_ftd,photic__gamma_relative__5hz__ch_T5,1,0.02
ad_vs_ftd,photic__gamma_relative__ap_slope__10hz,1,0.02
ad_vs_ftd,photic__gamma_relative__global__frequency_mean,1,0.02
ad_vs_ftd,photic__gamma_relative__rostral__20hz,1,0.02
ad_vs_ftd,photic__harmonic_snr_db__20hz__ch_T5,1,0.02
ad_vs_ftd,photic__harmonic_snr_db__5hz__ch_Fp1,1,0.02
