component,repeat,fold,classifier,selected_k,inner_auc
dementia_vs_cn,7,2,SVC,40,0.8854166666666667
ad_vs_ftd,7,2,SVC,40,0.6464285714285714
resting_direct,7,3,LogisticRegression,20,0.7579737392237392
paired_direct,7,3,LogisticRegression,10,0.7392026954526955
dementia_vs_cn,7,3,LogisticRegression,40,0.8845328282828283
ad_vs_ftd,7,3,SVC,20,0.6785714285714286
resting_direct,7,4,LogisticRegression,5,0.7427632552632553
paired_direct,7,4,SVC,40,0.7409324471824472
dementia_vs_cn,7,4,SVC,40,0.9567550505050505
ad_vs_ftd,7,4,SVC,10,0.7660714285714286
resting_direct,8,0,SVC,5,0.72379033004033
paired_direct,8,0,SVC,40,0.7720809283309282
dementia_vs_cn,8,0,LogisticRegression,40,0.9011363636363637
ad_vs_ftd,8,0,SVC,5,0.6928571428571428
resting_direct,8,1,LogisticRegression,5,0.728202121952122
paired_direct,8,1,LogisticRegression,5,0.7407395844895844
dementia_vs_cn,8,1,SVC,20,0.9507575757575758
ad_vs_ftd,8,1,SVC,20,0.6285714285714286
resting_direct,8,2,LogisticRegression,40,0.7421731046731047
paired_direct,8,2,LogisticRegression,20,0.791680772930773
dementia_vs_cn,8,2,LogisticRegression,40,0.8606060606060606
ad_vs_ftd,8,2,SVC,40,0.675
resting_direct,8,3,SVC,40,0.6451310263810265
paired_direct,8,3,SVC,10,0.733499370999371
dementia_vs_cn,8,3,LogisticRegression,40,0.8716540404040405
ad_vs_ftd,8,3,SVC,40,0.6392857142857142
resting_direct,8,4,LinearDiscriminantAnalysis,5,0.7395807895807897
paired_direct,8,4,SVC,40,0.8173661986161986
dementia_vs_cn,8,4,LogisticRegression,40,0.9283459595959597
ad_vs_ftd,8,4,SVC,40,0.8303571428571429
resting_direct,9,0,LinearDiscriminantAnalysis,20,0.7428895178895178
paired_direct,9,0,SVC,10,0.7921638546638546
dementia_vs_cn,9,0,SVC,40,0.9008838383838383
ad_vs_ftd,9,0,SVC,5,0.7321428571428571
resting_direct,9,1,LinearDiscriminantAnalysis,20,0.7342715155215156
paired_direct,9,1,LogisticRegression,40,0.7810037185037185
dementia_vs_cn,9,1,SVC,40,0.9176767676767678
ad_vs_ftd,9,1,SVC,40,0.7785714285714287
resting_direct,9,2,LogisticRegression,5,0.6841140341140342
paired_direct,9,2,SVC,20,0.7433513246013246
dementia_vs_cn,9,2,SVC,20,0.8463383838383839
ad_vs_ftd,9,2,SVC,20,0.7749999999999999
resting_direct,9,3,SVC,5,0.738243931993932
paired_direct,9,3,SVC,5,0.7443729881229881
dementia_vs_cn,9,3,SVC,40,0.8664141414141414
ad_vs_ftd,9,3,SVC,10,0.7589285714285714
resting_direct,9,4,SVC,20,0.7127918377918379
paired_direct,9,4,LogisticRegression,40,0.7474911662411663
dementia_vs_cn,9,4,LogisticRegression,40,0.9463383838383839
ad_vs_ftd,9,4,SVC,40,0.6
